vocab,property,count
http://www.w3.org/2000/01/rdf-schema#,http://www.w3.org/2000/01/rdf-schema#range,211
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#sourceIndividual,6
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#maxCardinality,55
http://www.w3.org/2000/01/rdf-schema#,http://www.w3.org/2000/01/rdf-schema#member,13
http://www.w3.org/2000/01/rdf-schema#,http://www.w3.org/2000/01/rdf-schema#comment,229
http://www.w3.org/2000/01/rdf-schema#,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,181
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#backwardCompatibleWith,14
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#withRestrictions,28
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#minQualifiedCardinality,46
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#targetValue,1
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#oneOf,57
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#members,40
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#datatypeComplementOf,0
http://www.w3.org/2000/01/rdf-schema#,http://www.w3.org/2000/01/rdf-schema#subClassOf,224
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#disjointUnionOf,16
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#versionIRI,80
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#assertionProperty,4
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#someValuesFrom,86
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#hasSelf,25
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#bottomObjectProperty,0
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#onDataRange,44
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#qualifiedCardinality,51
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#versionInfo,192
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#onProperties,0
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#equivalentClass,157
http://www.w3.org/2000/01/rdf-schema#,http://www.w3.org/2000/01/rdf-schema#label,245
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#deprecated,85
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#cardinality,60
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#inverseOf,119
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#topDataProperty,2
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#unionOf,176
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#minCardinality,53
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#maxQualifiedCardinality,46
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#imports,180
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#onProperty,111
http://www.w3.org/2000/01/rdf-schema#,http://www.w3.org/2000/01/rdf-schema#seeAlso,169
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#hasValue,58
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#priorVersion,149
http://www.w3.org/2000/01/rdf-schema#,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,207
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#distinctMembers,24
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#allValuesFrom,73
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#onDatatype,27
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#annotatedTarget,42
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#sameAs,187
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#hasKey,22
http://www.w3.org/2000/01/rdf-schema#,http://www.w3.org/2000/01/rdf-schema#domain,207
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#annotatedProperty,42
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#propertyChainAxiom,50
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#bottomDataProperty,0
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#equivalentProperty,142
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#incompatibleWith,15
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#targetIndividual,5
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#propertyDisjointWith,35
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#onClass,58
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#complementOf,143
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#topObjectProperty,4
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#differentFrom,20
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#intersectionOf,68
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#disjointWith,96
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#annotatedSource,42
