vocab,property,endpointUrl
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#cardinality,https://ldf.fi/kirjasampo/sparql
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#complementOf,https://sparql.string-db.org/
http://www.w3.org/2003/11/swrl#,http://www.w3.org/2003/11/swrl#argument2,http://metadb.riken.jp/sparql
http://www.w3.org/1999/02/22-rdf-syntax-ns#,http://www.w3.org/1999/02/22-rdf-syntax-ns#first,http://dati.isprambiente.it/sparql
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#onDatatype,https://landportal.org/sparql
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#propertyValidator,http://uriburner.com/sparql
http://www.w3.org/1999/02/22-rdf-syntax-ns#,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://api.druid.datalegend.net/datasets/IISG/iisg-kg/sparql
http://www.w3.org/2000/01/rdf-schema#,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://bio2rdf.org/sparql
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#annotatedTarget,https://ts.glycosmos.org/sparql
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#hasSelf,http://lov.okfn.org/dataset/lov/sparql
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#equivalentClass,https://data.persee.fr/sparql
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2004/02/skos/core#altLabel,http://kaiko.getalp.org/sparql
http://www.w3.org/1999/02/22-rdf-syntax-ns#,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://ideal-rdf.dbcls.jp/sparql
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2004/02/skos/core#altLabel,https://data.gesis.org/claimskg/sparql
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#minCount,https://linkeddata.uriburner.com/sparql
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#nodeKind,http://publications.europa.eu/webapi/rdf/sparql
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2004/02/skos/core#exactMatch,http://sparql.europeana.eu
