vocab,class,count
http://www.w3.org/1999/02/22-rdf-syntax-ns#,http://www.w3.org/1999/02/22-rdf-syntax-ns#CompoundLiteral,3
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#JSRule,2
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#Nothing,8
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#AllDisjointProperties,11
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#SPARQLTargetType,4
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#FunctionalProperty,105
http://spinrdf.org/spin#,http://spinrdf.org/spin#Rule,5
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#Annotation,2
http://spinrdf.org/spin#,http://spinrdf.org/spin#TableDataProvider,4
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#OntologyProperty,137
http://spinrdf.org/spin#,http://spinrdf.org/spin#Function,4
http://www.w3.org/2003/11/swrl#,http://www.w3.org/2003/11/swrl#Atom,4
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#JSExecutable,7
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#AllDisjointClasses,40
http://www.w3.org/1999/02/22-rdf-syntax-ns#,http://www.w3.org/1999/02/22-rdf-syntax-ns#Seq,31
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#JSLibrary,4
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#IrreflexiveProperty,26
http://www.w3.org/2003/11/swrl#,http://www.w3.org/2003/11/swrl#Variable,18
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#Target,7
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#NamedIndividual,85
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2004/02/skos/core#OrderedCollection,31
http://spinrdf.org/spin#,http://spinrdf.org/spin#Template,4
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#SPARQLAskExecutable,10
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#DeprecatedProperty,18
http://www.w3.org/1999/02/22-rdf-syntax-ns#,http://www.w3.org/1999/02/22-rdf-syntax-ns#Alt,20
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2004/02/skos/core#Concept,175
http://spinrdf.org/spin#,http://spinrdf.org/spin#AskTemplate,4
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#AllDifferent,37
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#SPARQLTarget,4
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#AbstractResult,9
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#NodeKind,8
http://www.w3.org/1999/02/22-rdf-syntax-ns#,http://www.w3.org/1999/02/22-rdf-syntax-ns#List,68
http://spinrdf.org/spin#,http://spinrdf.org/spin#LibraryOntology,1
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#Parameterizable,8
http://spinrdf.org/spin#,http://spinrdf.org/spin#RuleProperty,4
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#SPARQLConstraint,2
http://www.w3.org/2003/11/swrl#,http://www.w3.org/2003/11/swrl#SameIndividualAtom,8
http://www.w3.org/2000/01/rdf-schema#,http://www.w3.org/2000/01/rdf-schema#Class,184
http://www.w3.org/2000/01/rdf-schema#,http://www.w3.org/2000/01/rdf-schema#Datatype,100
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#ValidationReport,6
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2008/05/skos-xl#Label,41
http://spinrdf.org/spin#,http://spinrdf.org/spin#ConstraintViolationLevel,4
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#Thing,110
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#TargetType,7
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#Class,248
http://www.w3.org/2003/11/swrl#,http://www.w3.org/2003/11/swrl#ClassAtom,18
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#NegativePropertyAssertion,4
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#JSTargetType,4
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#ObjectProperty,230
http://www.w3.org/2003/11/swrl#,http://www.w3.org/2003/11/swrl#IndividualPropertyAtom,18
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#Parameter,7
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#NodeShape,30
http://www.w3.org/2000/01/rdf-schema#,http://www.w3.org/2000/01/rdf-schema#ContainerMembershipProperty,18
http://spinrdf.org/spin#,http://spinrdf.org/spin#Column,1
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#Ontology,223
