vocab,property,count
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#disjoint,3
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#labelTemplate,3
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#complementOf,148
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#focusNode,5
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#hasSelf,24
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#languageIn,2
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#expression,1
http://www.w3.org/2003/11/swrl#,http://www.w3.org/2003/11/swrl#body,20
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#assertionProperty,6
http://spinrdf.org/spin#,http://spinrdf.org/spin#labelTemplate,5
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#jsLibrary,3
http://spinrdf.org/spin#,http://spinrdf.org/spin#command,2
http://spinrdf.org/spin#,http://spinrdf.org/spin#imports,8
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#uniqueLang,7
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#hasValue,57
http://spinrdf.org/spin#,http://spinrdf.org/spin#nextRuleProperty,2
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2004/02/skos/core#relatedMatch,66
http://www.w3.org/1999/02/22-rdf-syntax-ns#,http://www.w3.org/1999/02/22-rdf-syntax-ns#value,116
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#nodes,1
http://spinrdf.org/spin#,http://spinrdf.org/spin#body,5
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#shapesGraphWellFormed,1
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#members,39
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#resultMessage,6
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#message,6
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#deprecated,99
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#lessThan,1
http://www.w3.org/2003/11/swrl#,http://www.w3.org/2003/11/swrl#head,20
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#onDataRange,39
http://spinrdf.org/spin#,http://spinrdf.org/spin#violationRoot,3
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#maxCount,22
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2008/05/skos-xl#altLabel,39
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#node,12
http://www.w3.org/2003/11/swrl#,http://www.w3.org/2003/11/swrl#builtin,8
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2004/02/skos/core#changeNote,52
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#annotationVarName,1
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#lessThanOrEquals,1
http://spinrdf.org/spin#,http://spinrdf.org/spin#symbol,2
http://www.w3.org/1999/02/22-rdf-syntax-ns#,http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate,38
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#value,7
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#differentFrom,23
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#in,11
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2008/05/skos-xl#labelRelation,3
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#nodeValidator,3
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#alternativePath,1
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#minQualifiedCardinality,46
http://www.w3.org/2003/11/swrl#,http://www.w3.org/2003/11/swrl#dataRange,2
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#and,5
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#targetValue,3
http://www.w3.org/2000/01/rdf-schema#,http://www.w3.org/2000/01/rdf-schema#range,240
http://www.w3.org/2000/01/rdf-schema#,http://www.w3.org/2000/01/rdf-schema#comment,258
http://www.w3.org/2000/01/rdf-schema#,http://www.w3.org/2000/01/rdf-schema#seeAlso,183
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#onProperty,128
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#optional,7
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#equals,2
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#sourceIndividual,6
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#jsLibraryURL,3
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2004/02/skos/core#member,66
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#condition,1
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#distinctMembers,38
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2004/02/skos/core#hiddenLabel,47
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#bottomObjectProperty,2
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#minCardinality,57
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#maxCardinality,56
http://www.w3.org/1999/02/22-rdf-syntax-ns#,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,316
http://spinrdf.org/spin#,http://spinrdf.org/spin#private,2
http://www.w3.org/1999/02/22-rdf-syntax-ns#,http://www.w3.org/1999/02/22-rdf-syntax-ns#direction,1
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#maxQualifiedCardinality,40
http://spinrdf.org/spin#,http://spinrdf.org/spin#violationValue,2
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#equivalentProperty,136
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2004/02/skos/core#semanticRelation,15
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#path,26
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#oneOrMorePath,3
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2004/02/skos/core#broaderTransitive,33
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#resultPath,5
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#intersectionOf,75
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#hasKey,21
http://spinrdf.org/spin#,http://spinrdf.org/spin#rulePropertyMaxIterationCount,2
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#subject,1
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#someValuesFrom,100
http://spinrdf.org/spin#,http://spinrdf.org/spin#violationSource,2
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#targetIndividual,5
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2004/02/skos/core#topConceptOf,84
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#parameter,7
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#zeroOrOnePath,1
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#topDataProperty,5
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#object,1
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#propertyChainAxiom,49
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#sourceConstraintComponent,5
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#result,5
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#bottomDataProperty,2
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#resultAnnotation,1
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2004/02/skos/core#note,99
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#suggestedShapesGraph,7
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#qualifiedValueShapesDisjoint,1
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#xone,2
http://spinrdf.org/spin#,http://spinrdf.org/spin#cachable,2
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#qualifiedMinCount,1
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2004/02/skos/core#scopeNote,122
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#maxExclusive,1
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#filterShape,1
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#rule,2
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2004/02/skos/core#editorialNote,59
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#intersection,1
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#datatypeComplementOf,1
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2004/02/skos/core#narrowerTransitive,26
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#sourceConstraint,1
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#qualifiedCardinality,53
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2004/02/skos/core#related,115
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2008/05/skos-xl#hiddenLabel,6
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#entailment,1
http://spinrdf.org/spin#,http://spinrdf.org/spin#thisUnbound,2
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#minExclusive,1
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#pattern,12
http://spinrdf.org/spin#,http://spinrdf.org/spin#query,2
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#prefixes,8
http://spinrdf.org/spin#,http://spinrdf.org/spin#columnWidth,2
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2004/02/skos/core#example,73
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#flags,2
http://spinrdf.org/spin#,http://spinrdf.org/spin#violationDetail,2
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#onProperties,1
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#targetSubjectsOf,8
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2004/02/skos/core#broadMatch,69
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#js,2
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#target,3
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#namespace,12
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#shapesGraph,6
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#ask,5
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#zeroOrMorePath,6
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#inverseOf,130
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#datatype,25
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2004/02/skos/core#memberList,14
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#severity,6
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#annotationProperty,1
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#ignoredProperties,16
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#targetObjectsOf,6
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#minLength,5
http://spinrdf.org/spin#,http://spinrdf.org/spin#columnIndex,2
http://spinrdf.org/spin#,http://spinrdf.org/spin#violationPath,3
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#inversePath,6
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#propertyValidator,3
http://www.w3.org/2003/11/swrl#,http://www.w3.org/2003/11/swrl#propertyPredicate,20
http://www.w3.org/1999/02/22-rdf-syntax-ns#,http://www.w3.org/1999/02/22-rdf-syntax-ns#language,1
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#annotatedTarget,57
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#defaultValue,1
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#sparql,1
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#deactivated,4
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2004/02/skos/core#narrower,120
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#propertyDisjointWith,31
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#priorVersion,145
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#predicate,2
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#oneOf,70
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2004/02/skos/core#mappingRelation,11
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#onClass,56
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#qualifiedValueShape,4
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#resultSeverity,5
http://spinrdf.org/spin#,http://spinrdf.org/spin#abstract,5
http://www.w3.org/1999/02/22-rdf-syntax-ns#,http://www.w3.org/1999/02/22-rdf-syntax-ns#subject,38
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#sourceShape,5
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#targetNode,1
http://www.w3.org/2000/01/rdf-schema#,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,201
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#validator,3
http://www.w3.org/2003/11/swrl#,http://www.w3.org/2003/11/swrl#classPredicate,20
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#withRestrictions,25
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#annotatedSource,57
http://spinrdf.org/spin#,http://spinrdf.org/spin#violationLevel,2
