vocab,endpointUrl
http://www.w3.org/1999/02/22-rdf-syntax-ns#,https://api.druid.datalegend.net/datasets/IISG/historic-maps/sparql
http://www.w3.org/1999/02/22-rdf-syntax-ns#,https://ja.dbpedia.org/sparql
http://www.w3.org/2002/07/owl#,https://glyconnect.expasy.org/sparql
http://www.w3.org/1999/02/22-rdf-syntax-ns#,https://db.project-hobbit.eu/sparql
http://www.w3.org/2004/02/skos/core#,https://api.druid.datalegend.net/datasets/AdamNet/Geography/sparql
http://www.w3.org/2000/01/rdf-schema#,http://vocabs.ardc.edu.au/repository/api/sparql/aas_the-unified-astronomy-thesaurus_4-0-1
http://www.w3.org/2002/07/owl#,http://vocabs.ands.org.au/repository/api/sparql/csiro_international-chronostratigraphic-chart_2018
http://www.w3.org/1999/02/22-rdf-syntax-ns#,https://hu.dbpedia.org/sparql
http://www.w3.org/1999/02/22-rdf-syntax-ns#,https://schema.gov.it/sparql
http://www.w3.org/1999/02/22-rdf-syntax-ns#,http://environment.data.gov.uk/sparql/bwq/query
http://www.w3.org/2004/02/skos/core#,http://de.dbpedia.org/sparql
http://www.w3.org/2004/02/skos/core#,http://eventmedia.eurecom.fr/sparql
http://www.w3.org/2004/02/skos/core#,https://www.govdata.de/sparql
http://www.w3.org/2000/01/rdf-schema#,http://data.cervantesvirtual.com/sparql
http://www.w3.org/2000/01/rdf-schema#,http://geo.linkeddata.es/sparql
http://www.w3.org/2002/07/owl#,https://api.druid.datalegend.net/datasets/Per-LOD-ad-Astra/Sleutelkastje/sparql
http://www.w3.org/2000/01/rdf-schema#,https://query.portal.mardi4nfdi.de/proxy/wdqs/bigdata/namespace/wdq/sparql
http://www.w3.org/2000/01/rdf-schema#,http://msm.eagle-i.net/sparqler/sparql
http://www.w3.org/1999/02/22-rdf-syntax-ns#,http://resource.geolba.ac.at/PoolParty/sparql/tectonicunit
http://www.w3.org/1999/02/22-rdf-syntax-ns#,https://sparql.crssnky.xyz/spql/imas/query
http://www.w3.org/2000/01/rdf-schema#,https://semanticweb.cs.vu.nl/dss/sparql
http://www.w3.org/1999/02/22-rdf-syntax-ns#,https://digitaalerfgoed.poolparty.biz/PoolParty/sparql/term/id/cht
http://www.w3.org/2002/07/owl#,https://ldf.fi/folklore/sparql
http://www.w3.org/2004/02/skos/core#,https://data.dia.gov.cz/sparql
http://www.w3.org/2000/01/rdf-schema#,https://clara.univ-nantes.fr/sparql
http://www.w3.org/2002/07/owl#,https://lov.okfn.org/dataset/lov/sparql
http://www.w3.org/2000/01/rdf-schema#,http://dbtune.org/classical/sparql
http://www.w3.org/2004/02/skos/core#,https://api.druid.datalegend.net/datasets/AdamNet/Heritage/sparql
http://www.w3.org/2000/01/rdf-schema#,https://ld.cultural.jp/sparql
http://www.w3.org/2003/11/swrl#,https://lov.okfn.org/dataset/lov/sparql
http://www.w3.org/2002/07/owl#,https://api.kunstmuseum.nl/query/proxy/wdqs/bigdata/namespace/wdq/sparql
http://www.w3.org/2002/07/owl#,https://www.foodie-cloud.org/sparql
http://www.w3.org/2002/07/owl#,http://data.bibliotheken.nl/sparql
http://www.w3.org/2000/01/rdf-schema#,https://api.druid.datalegend.net/datasets/andb/andb-leden/sparql
http://www.w3.org/1999/02/22-rdf-syntax-ns#,http://data.allie.dbcls.jp/sparql
http://www.w3.org/2000/01/rdf-schema#,http://vocab.getty.edu/sparql
http://www.w3.org/2002/07/owl#,http://ldf.fi/semparl/sparql
http://www.w3.org/1999/02/22-rdf-syntax-ns#,https://ts.glycosmos.org/sparql
http://www.w3.org/2004/02/skos/core#,http://demo.openlinksw.com/sparql
http://www.w3.org/1999/02/22-rdf-syntax-ns#,http://uriburner.com/sparql
http://www.w3.org/2000/01/rdf-schema#,http://sparql.lynx-project.eu
http://www.w3.org/2002/07/owl#,https://api.druid.datalegend.net/datasets/dataLegend/Clio-Infra/sparql
http://www.w3.org/1999/02/22-rdf-syntax-ns#,https://bmrbpub.pdbj.org/search/rdf
http://www.w3.org/2000/01/rdf-schema#,http://jsu.eagle-i.net/sparqler/sparql
http://www.w3.org/2002/07/owl#,http://kaiko.getalp.org/sparql
http://www.w3.org/2000/01/rdf-schema#,https://kaiko.getalp.org/sparql
http://www.w3.org/2004/02/skos/core#,http://sparql.uniprot.org
http://www.w3.org/2004/02/skos/core#,https://zbw.eu/beta/sparql/stw/query
http://www.w3.org/2000/01/rdf-schema#,https://api.druid.datalegend.net/datasets/IISG/jobHoard/sparql
http://www.w3.org/2000/01/rdf-schema#,http://sparql.archives-ouvertes.fr/sparql
http://spinrdf.org/spin#,http://lod.openlinksw.com/sparql
http://www.w3.org/2002/07/owl#,https://sparql.glyconavi.org/sparql
http://www.w3.org/2004/02/skos/core#,https://data.cssz.cz/sparql
http://www.w3.org/2000/01/rdf-schema#,https://hitontology.eu/sparql
http://www.w3.org/2002/07/owl#,http://dati.camera.it/sparql
http://www.w3.org/2002/07/owl#,https://lov.linkeddata.es/dataset/lov/sparql
http://www.w3.org/2000/01/rdf-schema#,http://datos.bne.es/sparql
http://www.w3.org/2002/07/owl#,https://opendata1.opendata.u-psud.fr/sparql
http://www.w3.org/2002/07/owl#,https://zbw.eu/beta/sparql/gnd/query
http://www.w3.org/2002/07/owl#,https://dbmi-icode-01.dbmi.pitt.edu/sparql
http://www.w3.org/1999/02/22-rdf-syntax-ns#,https://www.snik.eu/sparql
http://www.w3.org/2002/07/owl#,https://triplestore.iccu.sbn.it/sparql
http://www.w3.org/2000/01/rdf-schema#,https://ontology.inrae.fr/bsv/sparql
http://www.w3.org/2002/07/owl#,http://alaska.eagle-i.net/sparqler/sparql
http://www.w3.org/2002/07/owl#,http://ldf.fi/kirjasampo/sparql
http://www.w3.org/2000/01/rdf-schema#,https://data.persee.fr/sparql
http://www.w3.org/2002/07/owl#,https://ldf.fi/ww1lod/sparql
http://www.w3.org/1999/02/22-rdf-syntax-ns#,https://knowledge.brc.riken.jp/sparql
http://www.w3.org/2000/01/rdf-schema#,https://ldf.fi/mmm/sparql
http://www.w3.org/2000/01/rdf-schema#,https://sparql.uniprot.org/sparql
http://www.w3.org/2003/11/swrl#,https://lov.linkeddata.es/dataset/lov/sparql
http://www.w3.org/2000/01/rdf-schema#,http://utep.eagle-i.net/sparqler/sparql
http://www.w3.org/2000/01/rdf-schema#,https://sparql.string-db.org/
http://www.w3.org/2003/11/swrl#,https://dbmi-icode-01.dbmi.pitt.edu/sparql
http://www.w3.org/1999/02/22-rdf-syntax-ns#,https://api.druid.datalegend.net/datasets/nlgis/mint/sparql
http://www.w3.org/2000/01/rdf-schema#,http://lov.okfn.org/dataset/lov/sparql
http://www.w3.org/2004/02/skos/core#,https://ontology.inrae.fr/frenchcropusage/sparql
http://www.w3.org/2002/07/owl#,https://api.druid.datalegend.net/datasets/HistoryOfWork/historyOfWork-all-latest/services/historyOfWork-all-latest/sparql
http://www.w3.org/1999/02/22-rdf-syntax-ns#,https://data.mpsv.cz/sparql/
http://www.w3.org/2004/02/skos/core#,https://api.druid.datalegend.net/datasets/dataLegend/Admissies-Haarlem/sparql
http://www.w3.org/1999/02/22-rdf-syntax-ns#,https://opendata.mfcr.cz/lod/sparql
http://www.w3.org/2000/01/rdf-schema#,https://api.finto.fi/sparql
http://www.w3.org/2002/07/owl#,https://data.gesis.org/claimskg/sparql
http://www.w3.org/1999/02/22-rdf-syntax-ns#,https://covidontheweb.inria.fr/sparql
http://www.w3.org/1999/02/22-rdf-syntax-ns#,https://api.druid.datalegend.net/datasets/nlgis/cshapes/sparql
