vocab,elem,endpointUrl
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Distribution,https://sparql.wikipathways.org/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Dataset,http://vocabulary.semantic-web.at/PoolParty/sparql/semweb
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Distribution,http://publications.europa.eu/webapi/rdf/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Catalog,http://dati.beniculturali.it/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Dataset,http://dati.camera.it/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Dataset,https://dati.cultura.gov.it/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Dataset,https://lov.linkeddata.es/dataset/lov/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Dataset,http://taxref.mnhn.fr/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Catalog,https://data.dia.gov.cz/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#DataService,https://covidontheweb.inria.fr/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Dataset,http://weakg.i3s.unice.fr/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Dataset,http://opendata.aragon.es/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Dataset,https://es.dbpedia.org/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Dataset,https://covidontheweb.inria.fr/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Dataset,http://dbpedia.org/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Linkset,http://sparql.orthodb.org/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Linkset,https://aopwiki.rdf.bigcat-bioinformatics.org/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Dataset,http://ldf.fi/corresp/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Distribution,https://relate.racai.ro/datasets/rtasc/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Catalog,https://dati.camera.it/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Distribution,https://lov.okfn.org/dataset/lov/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Linkset,https://sparql.orthodb.org/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Dataset,http://vocabulary.curriculum.edu.au/PoolParty/sparql/scot
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#DataService,https://lov.linkeddata.es/dataset/lov/sparql
